latitude,longitude,date,satellite_no2,temperature,humidity,population_density,proximity_to_roads
36.87270059423681,-119.07433535580691,2024-01-01,26.170568373590598,306.9081197683559,64.31975269701556,1998.4958253733382,6.48256954077822
39.75357153204958,-117.29049526310821,2024-01-01,24.697879907199983,311.8672558876549,78.32593975799918,2393.506513906356,1.7238636210516622
38.65996970905702,-115.63527082061796,2024-01-01,90.62545805210367,290.01871595169996,75.60965578740954,4280.009596350793,8.72394563354815
37.993292420985185,-116.3388755679522,2024-01-01,24.95461998495061,304.99496398427993,39.23399428162642,1733.021710996466,6.131162390692415
35.780093202212186,-115.96719426069275,2024-01-01,27.1949726128631,302.8698393257499,38.954968184488436,4354.765939820248,1.5720388355695425
35.77997260168101,-116.70608316644642,2024-01-01,75.93982624179637,313.31321507153086,46.0904620646948,486.26543333462286,9.623380574812067
35.290418060841,-116.53861717741074,2024-01-01,44.973984245054,316.2434824192504,51.66448358046223,3895.1522641827223,5.183654633353206
39.330880728874675,-115.7540217421734,2024-01-01,77.67105569551812,280.4862708590955,54.50733488450896,4245.360783620945,0.72898451871655
38.00557505871605,-118.75165995570407,2024-01-01,6.536615756438524,306.9607967623517,70.78183301000072,949.9973815448268,6.268329044150672
38.540362888980226,-117.5528751817843,2024-01-01,48.75711936733843,282.07343196478917,33.40082592995012,2180.215335242392,2.5319890701281023
35.10292247147901,-118.89395279090199,2024-01-01,3.3613600183282633,301.9543466030942,32.08036225356398,869.2238845850953,8.036934518773025
39.84954926080997,-115.06165996001677,2024-01-01,6.265320345535452,291.5053091617471,53.51463377663454,3547.690438521378,8.178220735661906
39.16221320400211,-115.27970330156694,2024-01-01,90.64374533444109,292.27106398088563,71.82982152827883,2699.971451905201,9.789473558546618
36.06169555339138,-119.80286594315747,2024-01-01,13.924537111759516,294.11834013809425,41.60612057738895,3194.850566206189,5.018695310245037
35.9091248360355,-116.47212413742156,2024-01-01,53.24206822752171,304.8516979619844,68.49026887537511,1022.6104864332452,4.549568797277371
35.917022549267166,-115.37375841292167,2024-01-01,41.10956026007065,293.3619986267508,45.58968827641797,1098.1420171594766,7.534756054464806
36.52121121479769,-119.09712327436333,2024-01-01,34.73433262588427,309.3079620236112,83.16516652881097,255.41176127403654,1.3247065634192656
37.62378215816119,-117.16027384723685,2024-01-01,89.98333456872724,296.1810954229548,83.741396655997,1644.2342992188621,5.469155137931242
